,name,preco_de,elasticidade,abs_elasticidade
0,"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon Green","Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon Green_CPE",-36199.2295,36199.2295
1,"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon Green",Get Up Stand Bluetooth Home Audio System_CPE,-26241.4786,26241.4786
2,"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon Green",iHome Rechargeable Splash Proof Stereo Bluetooth Speaker - Black (IBT33BC)_CPE,-26036.3235,26036.3235
3,"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon Green","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black_CPE",-18166.5137,18166.5137
4,"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon Green","Russound - Acclaim 5 Series 6-1/2 Indoor/Outdoor Speaker (Each) - White""_CPE",-18166.5137,18166.5137
5,"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon Green",SRS-XB40 Bluetooth Speaker (Black)_CPE,-17865.7442,17865.7442
6,"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon Green",SRS-XB40 Bluetooth Speaker (Blue)_CPE,-15702.9592,15702.9592
7,"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon Green",Outdoor Tech Buckshot Pro Bluetooth Speaker_CPE,-6558.7335,6558.7335
8,"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon Green",Details About Logitech Ue Roll 2 Wireless Portable Bluetooth Waterproof Speaker_CPE,-6414.4769,6414.4769
9,"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon Green","EcoJam Waterproof Bluetooth Speaker, Black_CPE",-4066.73,4066.73
10,"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon Green",BRAVEN BRV-HD Wireless Bluetooth Speaker [28 Hour Playtime][Water Resistant] Built-In 8800 mAh Power Bank Charger - Black_CPE,3595.0408,3595.0408
11,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",iHome Rechargeable Splash Proof Stereo Bluetooth Speaker - Black (IBT33BC)_CPE,-653.4695,653.4695
12,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",Get Up Stand Bluetooth Home Audio System_CPE,-630.948,630.948
13,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black","Russound - Acclaim 5 Series 6-1/2 Indoor/Outdoor Speaker (Each) - White""_CPE",-566.3402,566.3402
14,"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black","DreamWave - Tremor Portable Bluetooth Speaker - Green,Black_CPE",-566.3402,566.3402
