name,BRAVEN BRV-HD Wireless Bluetooth Speaker [28 Hour Playtime][Water Resistant] Built-In 8800 mAh Power Bank Charger - BlackCPE,Boytone - 2500W 2.1-Ch. Home Theater System - Black DiamondCPE,Details About Logitech Ue Roll 2 Wireless Portable Bluetooth Waterproof SpeakerCPE,"DreamWave - Tremor Portable Bluetooth Speaker - Green,BlackCPE",ECOXGEAR ECOXBT Rugged and Waterproof Wireless Bluetooth Speaker (Orange)CPE,ECOXGEAR ECOXBT Waterproof Bluetooth SpeakerCPE,"EcoJam Waterproof Bluetooth Speaker, BlackCPE",Ecoxgear Ecocarbon Bluetooth Waterproof Speaker (black)CPE,Get Up Stand Bluetooth Home Audio SystemCPE,JBL Flip 3 Splashproof Portable Bluetooth Speaker (Teal)CPE,"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon GreenCPE",Outdoor Tech Buckshot Pro Bluetooth SpeakerCPE,"Russound - Acclaim 5 Series 6-1/2 Indoor/Outdoor Speaker (Each) - White""CPE",SRS-XB40 Bluetooth Speaker (Black)CPE,SRS-XB40 Bluetooth Speaker (Blue)CPE,Sony SRSHG1/BLK Hi-Res Wireless Speaker- Charcoal blackCPE,iHome Rechargeable Splash Proof Stereo Bluetooth Speaker - Black (IBT33BC)CPE
BRAVEN BRV-HD Wireless Bluetooth Speaker [28 Hour Playtime][Water Resistant] Built-In 8800 mAh Power Bank Charger - Black,-25.4426,,-0.8596,33.855,,,-30.1323,,36.6296,,0.7786,-34.5033,33.855,-3.9921,-40.3524,,39.0635
Boytone - 2500W 2.1-Ch. Home Theater System - Black Diamond,41.2557,,-7.5627,-19.4493,,,73.3028,,-23.1218,,97.3986,85.9588,-19.4493,58.7758,132.038,,-22.4414
Details About Logitech Ue Roll 2 Wireless Portable Bluetooth Waterproof Speaker,0.2091,,16.9816,22.7523,,,6.7797,,31.5794,,61.5417,5.7417,22.7523,22.7529,22.8791,,26.2526
"DreamWave - Tremor Portable Bluetooth Speaker - Green,Black",340.1942,,-57.8729,-566.3402,,,334.9805,,-630.948,,-207.63,398.3678,-566.3402,-99.7894,365.3442,,-653.4695
ECOXGEAR ECOXBT Rugged and Waterproof Wireless Bluetooth Speaker (Orange),32.3266,,-25.5715,-71.7104,,,31.4621,,-84.7536,,-76.879,30.6392,-71.7104,-21.9817,23.4879,,-82.7427
ECOXGEAR ECOXBT Waterproof Bluetooth Speaker,-25.5724,,20.2302,56.7364,,,-24.8962,,67.0546,,60.8153,-33.0827,56.7364,17.3862,-18.5922,,65.4651
"EcoJam Waterproof Bluetooth Speaker, Black",0.0,,-12.6379,0.0,,,-4.3958,,0.0,,-0.0,-0.0,0.0,-0.0,-0.0,,0.0
JBL Flip 3 Splashproof Portable Bluetooth Speaker (Teal),0.7551,,7.7383,47.967,,,-41.902,,48.1853,,-7.0087,-49.5271,47.967,-15.6722,-65.4446,,55.3465
"Monster SuperStar BackFloat High-Definition Bluetooth Speaker, Neon Green",3595.0408,,-6414.4769,-18166.5137,,,-4066.73,,-26241.4786,,-36199.2295,-6558.7335,-18166.5137,-17865.7442,-15702.9592,,-26036.3235
Outdoor Tech Buckshot Pro Bluetooth Speaker,0.0002,,0.0015,0.0096,,,-0.0084,,0.0097,,-0.0014,-0.0099,0.0096,-0.0031,-0.0131,,0.0111
SRS-XB40 Bluetooth Speaker (Black),3.0414,,-0.5575,-1.4338,,,5.404,,-1.7046,,7.1804,6.337,-1.4338,-0.7144,9.7341,,-1.6544
SRS-XB40 Bluetooth Speaker (Blue),20.4631,,-6.0623,-23.5531,,,22.5324,,-20.1014,,10.7307,26.792,-23.5531,8.4011,34.6113,,-27.1767
Sony SRSHG1/BLK Hi-Res Wireless Speaker- Charcoal black,-0.0007,,-0.0069,-0.0428,,,-3.4667,,-0.043,,0.0063,-3.9855,-0.0428,-3.8239,-4.6825,,-0.0494
iHome Rechargeable Splash Proof Stereo Bluetooth Speaker - Black (IBT33BC),1.733,,-0.6513,25.6658,,,-15.5324,,27.7691,,0.5899,-17.7495,25.6658,0.9768,-20.7005,,29.6144
